country,kgCO2/kWh,kgCH4/kWh,kgN2O/kWh
Lithuania,0.115934959,0.00000240346,0.00000030342
Luxembourg,0.276002537,0.00000491983,0.00000049198
Macedonia,1.9406436,0.00002036386,0.00002911807
Malaysia,0.74884244,0.00001099853,0.00000675290
Malta,0.866166929,0.00003375078,0.00000675016
Mexico,0.452483345,0.00001025206,0.00000265293
Middle East,0.734833867,0.00001902493,0.00000364425
Moldova,0.637194856,0.00001173875,0.00000124212
Mongolia,2.310868705,0.00002450233,0.00003464121
Morocco,0.731211458,0.00001301900,0.00000945179
Mozambique,0.000445032,0.00000000793,0.00000000079
Myanmar,0.315665174,0.00000622419,0.00000072998
Namibia,0.489803834,0.00000545036,0.00000769571
Nepal,0.00304179,0.00000011790,0.00000002358
Netherlands,0.413302564,0.00000553629,0.00000286965
Netherlands Antilles,0.71753913,0.00002781159,0.00000556232
New Zealand,0.197695588,0.00000276291,0.00000148264
Nicaragua,0.472119274,0.00001833847,0.00000366769
Nigeria,0.43963136,0.00001008827,0.00000141881
Non-OECD Europe,1.111009897,0.00001274601,0.00001592938
Non-OECD Total,0.777401484,0.00001068936,0.00001004702
Norway,0.002240278,0.00000002687,0.00000000643
OECD Europe,0.451706369,0.00000566971,0.00000528429
OECD North America,0.497137859,0.00000620354,0.00000641589
OECD Pacific,0.529481475,0.00000735393,0.00000581740
Oman,0.93649203,0.00002101508,0.00000287365
Pakistan,0.473378547,0.00001383671,0.00000243096
Panama,0.276797888,0.00001082697,0.00000216539
Paraguay,0,0.00000000000,0.00000000000
Peru,0.237721212,0.00000540039,0.00000118796
Philippines,0.52673385,0.00000809639,0.00000616390
Poland,1.196125502,0.00001252130,0.00001800626
Portugal,0.400151316,0.00000669523,0.00000404396
Qatar,0.596345388,0.00001063004,0.00000106300
Romania,1.069422796,0.00001171119,0.00001480791
Russian Federation,0.513180381,0.00000740420,0.00000412694
Saudi Arabia,0.795591395,0.00002375473,0.00000409623
Senegal,0.5982594,0.00002318009,0.00000461815
Serbia,1.548567819,0.00001574361,0.00002330385
Singapore,0.57904595,0.00001328426,0.00000187695
Slovak Republic,0.282995496,0.00000322152,0.00000377266
Slovenia,0.578399475,0.00000593888,0.00000862028
South Africa,1.069026617,0.00001131304,0.00001694748
South Asia,1.213800412,0.00001520917,0.00001755688
Southeast Asia/ASEAN,0.627076088,0.00001079622,0.00000567292
Spain,0.34287509,0.00000553451,0.00000307467
Sri Lanka,0.417247633,0.00001644053,0.00000328811
Sudan,0.614906086,0.00002436143,0.00000487229
Sweden,0.023033883,0.00000025655,0.00000013911
Switzerland,0.003177437,0.00000007019,0.00000000947
Syrian Arab Republic,0.639109712,0.00002084042,0.00000382947
Tajikistan,0.023245211,0.00000041435,0.00000004144
Tanzania,0.26675705,0.00000471237,0.00000095425
Thailand,0.626742612,0.00000934176,0.00000473446
Togo,0.207239024,0.00000839024,0.00000167805
Trinidad and Tobago,0.766677522,0.00001374861,0.00000138957
Tunisia,0.572169413,0.00001209311,0.00000155998
Turkey,0.865664547,0.00001107312,0.00000991016
Turkmenistan,0.644672553,0.00001149149,0.00000114915
Ukraine,0.56313293,0.00000627280,0.00000723106
United Arab Emirates,0.938297499,0.00001718581,0.00000180104
United Kingdom,0.508501975,0.00000675405,0.00000512153
United States,0.547096737,0.00000655331,0.00000724137
Uruguay,0.303713979,0.00001207864,0.00000241499
Uzbekistan,0.567432849,0.00000988103,0.00000233810
Venezuela,0.208069719,0.00000602568,0.00000102259
Vietnam,0.466848028,0.00000705321,0.00000420297
World,0.623537453,0.00000831849,0.00000786421
Yemen,0.644106104,0.00002524766,0.00000504953
Zambia,0.003197305,0.00000012280,0.00000002802
Zimbabwe,0.600377947,0.00000644193,0.00000949498
