image,company_name,product_name,rating,price,link
https://content.cylindo.com/api/v2/4955/products/ROUND_FIRE_TABLE/frames/1/ROUND_FIRE_TABLE.JPG?background=FFFFFF&size=1800,Yardbird,Round Fire Table,4.7,1125.00,https://yardbird.com/collections/fire-tables/products/round-fire-table/
https://higher-grounds-coffee.myshopify.com/cdn/shop/products/HG_Funky_ForWeb_768x768.jpg?v=1479479899,Higher Grounds Coffee,Organic Funky Mamacita Medium-Dark,5/5,16.00,https://higher-grounds-coffee.myshopify.com/products/funky-mamacita
https://norm.supply/cdn/shop/products/75018_2D_0001_Greycopy.jpg?v=1669570187&width=823,Norm,3D KNIT UNISEX SNEAKERS,4/5,224.05,https://norm.supply/products/1l13-01-obsidian-blue
https://norm.supply/cdn/shop/products/1TL26-01-OB-OBLQ.jpg?v=1673519097&width=823,Norm,UNISEX RECYCLED COTTON T-SHIRT,4.5/5,77.35,https://norm.supply/products/1tl26-01-oblq-obsidian-blue
https://norm.supply/cdn/shop/products/1C27-01-DS2.jpg?v=1659019566&width=823,Norm,1C27-01 DUNE STONE,5/5,66.47,https://norm.supply/products/1c27-01-dune-stone
https://cdn.shopify.com/s/files/1/0132/3529/0170/products/2132md-eKO-5mm-71-13A021283-Mats-Midnight_04.jpg?v=1686082857,Manduka,EKO® YOGA MAT 5MM,4.4/5,100.00,https://www.manduka.com/products/eko-yoga-mat-5mm?variant=32118014443578
https://cdn.shopify.com/s/files/1/0132/3529/0170/products/136011480-Mats-EkoSuperLite-LeafGreen-02.jpg?v=1686082729,Manduka,SUPERLITE TRAVEL YOGA MAT 1.5MM,4.3/5,52.00,https://www.manduka.com/products/eko-superlite-travel-yoga-mat?variant=39925768486970
https://five12apparel.com/cdn/shop/products/Blackside.png?v=1674772620,Five12 Apparel,Whitewater Hydrophobic Hat,4.5/5,34.99,https://five12apparel.com/products/whitewater-hydrophobic-hat#desc
https://five12apparel.com/cdn/shop/products/3289A9E2-0ABC-44DE-8686-E7BD4F838EC8_1_105_c.jpg?v=1678486876,Five12 Apparel,Colchuck Beanie,4.6/5,24.00,https://five12apparel.com/products/colchuck-beanie
https://pytbeauty.com/cdn/shop/products/Swipe-Right-12-HR-Mascara-Variant-Hero_DM-Me_5fd93c17-6247-4982-b5b3-c7b02dced767_700x@2x.jpg?v=1639060626,Pyt Beauty,Swipe Right 12 HR Mascara,4.4/5,16.00,https://pytbeauty.com/products/swipe-right-12-hr-mascara
https://pytbeauty.com/cdn/shop/products/One-_-Done-Setting-Spray-Hero_e250cc85-6090-41a0-b6ed-aa33155de4a6_700x@2x.jpg?v=1639059528,Pyt Beauty,One & Done Setting Spray / FU Pollution & Blue Light,4.5/5,20.00,https://pytbeauty.com/products/one-done-setting-spray-fu-pollution-blue-light
https://finalstraw.com/cdn/shop/products/BiggieStraw-Product-Photography---Purple-Zig-Zag-in-Case_540x.png?v=1605628070,Final Straw,Biggie Straw,5/5,12.95,https://finalstraw.com/products/biggiestraw
https://finalstraw.com/cdn/shop/products/1_540x.png?v=1605627928,Final Straw,Final Spork,4/5,29.95,https://finalstraw.com/products/finalcutlery
https://flip-tumble.myshopify.com/cdn/shop/products/produce1500.gif?v=1559763299&width=713,flip & tumble,reusable mesh produce bags,5/5,16.00,https://flip-tumble.myshopify.com/products/mesh-reusable-produce-bags?variant=20176731907
